127.0.0.1 - - [05/Feb/2019:00:08:58 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [05/Feb/2019:00:08:58 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [05/Feb/2019:00:08:58 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [05/Feb/2019:00:08:58 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - tomcat [05/Feb/2019:00:08:58 +0100] "GET /manager/text/list HTTP/1.1" 200 255
127.0.0.1 - tomcat [05/Feb/2019:00:08:58 +0100] "GET /manager/text/list HTTP/1.1" 200 255
127.0.0.1 - tomcat [05/Feb/2019:00:08:59 +0100] "GET /manager/text/undeploy?path=/WebApplication2 HTTP/1.1" 200 72
127.0.0.1 - tomcat [05/Feb/2019:00:09:02 +0100] "GET /manager/text/deploy?config=file%3A%2Fvar%2Ffolders%2F1c%2Fg851qhds387cf7z065l4vwgc0000gp%2FT%2Fcontext1965003299994039776.xml&path=/WebApplication2 HTTP/1.1" 200 70
127.0.0.1 - tomcat [05/Feb/2019:00:09:02 +0100] "GET /manager/text/start?path=/WebApplication2 HTTP/1.1" 200 69
0:0:0:0:0:0:0:1 - - [05/Feb/2019:00:09:21 +0100] "GET /WebApplication2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Feb/2019:00:09:29 +0100] "GET /WebApplication2/NOMESERVIZIO.htm?parametro=uuu HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [05/Feb/2019:00:10:03 +0100] "GET /WebApplication2/NOMESERVIZIO_01.htm?parametro=uuu HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [05/Feb/2019:00:11:11 +0100] "GET /WebApplication2/NOMESERVIZIO_01.htm?parametro=uuu HTTP/1.1" 404 1056
127.0.0.1 - - [05/Feb/2019:00:12:35 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [05/Feb/2019:00:12:35 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [05/Feb/2019:00:12:35 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [05/Feb/2019:00:12:35 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [05/Feb/2019:00:12:35 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [05/Feb/2019:00:12:35 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [05/Feb/2019:00:12:35 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [05/Feb/2019:00:12:35 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [05/Feb/2019:00:12:35 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [05/Feb/2019:00:12:35 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - tomcat [05/Feb/2019:00:12:37 +0100] "GET /manager/text/list HTTP/1.1" 200 255
127.0.0.1 - tomcat [05/Feb/2019:00:12:37 +0100] "GET /manager/text/list HTTP/1.1" 200 255
127.0.0.1 - tomcat [05/Feb/2019:00:12:38 +0100] "GET /manager/text/undeploy?path=/WebApplication2 HTTP/1.1" 200 72
127.0.0.1 - tomcat [05/Feb/2019:00:12:41 +0100] "GET /manager/text/deploy?config=file%3A%2Fvar%2Ffolders%2F1c%2Fg851qhds387cf7z065l4vwgc0000gp%2FT%2Fcontext5346832422607272644.xml&path=/WebApplication2 HTTP/1.1" 200 70
127.0.0.1 - tomcat [05/Feb/2019:00:12:41 +0100] "GET /manager/text/start?path=/WebApplication2 HTTP/1.1" 200 69
0:0:0:0:0:0:0:1 - - [05/Feb/2019:00:12:48 +0100] "GET /WebApplication2/NOMESERVIZIO_01.htm?parametro=uuu HTTP/1.1" 404 1056
127.0.0.1 - - [05/Feb/2019:00:13:22 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [05/Feb/2019:00:13:22 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [05/Feb/2019:00:13:22 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [05/Feb/2019:00:13:22 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [05/Feb/2019:00:13:22 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [05/Feb/2019:00:13:22 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [05/Feb/2019:00:13:26 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [05/Feb/2019:00:13:26 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [05/Feb/2019:00:13:26 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [05/Feb/2019:00:13:26 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [05/Feb/2019:00:13:26 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - tomcat [05/Feb/2019:00:13:27 +0100] "GET /manager/text/list HTTP/1.1" 200 255
127.0.0.1 - tomcat [05/Feb/2019:00:13:27 +0100] "GET /manager/text/list HTTP/1.1" 200 255
127.0.0.1 - tomcat [05/Feb/2019:00:13:28 +0100] "GET /manager/text/undeploy?path=/WebApplication2 HTTP/1.1" 200 72
127.0.0.1 - tomcat [05/Feb/2019:00:13:30 +0100] "GET /manager/text/deploy?config=file%3A%2Fvar%2Ffolders%2F1c%2Fg851qhds387cf7z065l4vwgc0000gp%2FT%2Fcontext1190705286714070556.xml&path=/WebApplication2 HTTP/1.1" 200 70
127.0.0.1 - tomcat [05/Feb/2019:00:13:30 +0100] "GET /manager/text/start?path=/WebApplication2 HTTP/1.1" 200 69
127.0.0.1 - - [05/Feb/2019:00:14:01 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [05/Feb/2019:00:14:01 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [05/Feb/2019:00:14:01 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [05/Feb/2019:00:14:01 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [05/Feb/2019:00:14:01 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [05/Feb/2019:00:14:02 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [05/Feb/2019:00:14:06 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [05/Feb/2019:00:14:06 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [05/Feb/2019:00:14:06 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [05/Feb/2019:00:14:06 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [05/Feb/2019:00:14:06 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - tomcat [05/Feb/2019:00:14:07 +0100] "GET /manager/text/list HTTP/1.1" 200 255
127.0.0.1 - tomcat [05/Feb/2019:00:14:07 +0100] "GET /manager/text/list HTTP/1.1" 200 255
127.0.0.1 - tomcat [05/Feb/2019:00:14:07 +0100] "GET /manager/text/undeploy?path=/WebApplication2 HTTP/1.1" 200 72
127.0.0.1 - tomcat [05/Feb/2019:00:14:10 +0100] "GET /manager/text/deploy?config=file%3A%2Fvar%2Ffolders%2F1c%2Fg851qhds387cf7z065l4vwgc0000gp%2FT%2Fcontext7100971348238715035.xml&path=/WebApplication2 HTTP/1.1" 200 70
127.0.0.1 - tomcat [05/Feb/2019:00:14:10 +0100] "GET /manager/text/start?path=/WebApplication2 HTTP/1.1" 200 69
0:0:0:0:0:0:0:1 - - [05/Feb/2019:00:15:41 +0100] "GET /WebApplication2/NOMESERVIZIO_01.htm?parametro=uuu HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [05/Feb/2019:00:16:01 +0100] "GET /WebApplication2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Feb/2019:00:16:01 +0100] "GET /WebApplication2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Feb/2019:00:16:01 +0100] "GET /WebApplication2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Feb/2019:00:16:41 +0100] "GET /WebApplication2/NOMESERVIZIO.htm?parametro=yyy HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [05/Feb/2019:00:17:13 +0100] "GET /WebApplication2/NOMESERVIZIO_01.htm?parametro=yyy HTTP/1.1" 404 1056
127.0.0.1 - - [05/Feb/2019:00:38:23 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [05/Feb/2019:00:38:23 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [05/Feb/2019:00:38:24 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [05/Feb/2019:00:38:24 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [05/Feb/2019:00:38:24 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [05/Feb/2019:00:38:24 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [05/Feb/2019:00:38:24 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [05/Feb/2019:00:38:24 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [05/Feb/2019:00:38:30 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [05/Feb/2019:00:38:30 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [05/Feb/2019:00:38:30 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [05/Feb/2019:00:38:30 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [05/Feb/2019:00:38:30 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - tomcat [05/Feb/2019:00:38:31 +0100] "GET /manager/text/list HTTP/1.1" 200 255
127.0.0.1 - tomcat [05/Feb/2019:00:38:32 +0100] "GET /manager/text/undeploy?path=/WebApplication2 HTTP/1.1" 200 72
